subject_id,target,group_str,roi,delta,loss_recon_pre,loss_recon_post,loss_cls_pre,loss_cls_post
sub-fuspd16,vim,VIM_first,lh_Ca,0.004642823711037636,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_GPe,0.004651844501495361,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_GPi,0.0032066204585134983,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_Pu,0.0054252296686172485,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_STH,0.0020794980227947235,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_cerebellum_dentate,0.003863731399178505,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_cerebellum_motor,0.004128088243305683,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_paracentral_smooth3mm,0.005112342536449432,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_postcentral_smooth3mm,0.0059601180255413055,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_precentral_smooth3mm,0.0019543692469596863,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_superiorfrontal_smooth3mm,-0.0015744362026453018,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_vim,0.00622960552573204,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,lh_zi,0.004058999940752983,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_Ca,0.004737049341201782,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_GPe,0.0025456342846155167,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_GPi,0.005048387683928013,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_Pu,0.0038936492055654526,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_STH,0.002842668443918228,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_cerebellum_dentate,0.004697130993008614,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_cerebellum_motor,0.0021948739886283875,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_paracentral_smooth3mm,0.00598454475402832,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_postcentral_smooth3mm,0.005421090871095657,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_precentral_smooth3mm,0.00605122372508049,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
sub-fuspd16,vim,VIM_first,rh_superiorfrontal_smooth3mm,0.0006447425112128258,1.53826105594635,1.487398386001587,1.1334044933319092,0.04655739292502403
