subject_id,target,group_str,roi,roi_c_pre,roi_c_post,delta,loss_recon_pre,loss_recon_post,loss_cls_pre,loss_cls_post
sub-fuspd03,vim,ZI_first,lh_Ca,0.001071074977517128,0.0014337673783302307,0.0003626924008131027,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_GPe,-0.0028973715379834175,-0.0014421588275581598,0.0014552127104252577,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_GPi,0.018083395436406136,0.01939653418958187,0.0013131387531757355,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_Pu,0.027577262371778488,0.02837882936000824,0.0008015669882297516,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_STH,0.018931396305561066,0.019331978633999825,0.00040058232843875885,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_cerebellum_dentate,-0.0030558332800865173,-0.002527453936636448,0.0005283793434500694,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_cerebellum_motor,-0.017310094088315964,-0.018430236726999283,-0.001120142638683319,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_paracentral_smooth3mm,0.013120856136083603,0.01442160364240408,0.0013007475063204765,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_postcentral_smooth3mm,0.02237192541360855,0.025220341980457306,0.002848416566848755,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_precentral_smooth3mm,0.0048653315752744675,0.004892423748970032,2.709217369556427e-05,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_superiorfrontal_smooth3mm,0.01577085256576538,0.01622660458087921,0.00045575201511383057,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_vim,0.001616970170289278,0.0027011819183826447,0.0010842117480933666,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,lh_zi,-0.0031851523090153933,0.00029142689891159534,0.0034765792079269886,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_Ca,-0.009195554070174694,-0.006921457126736641,0.002274096943438053,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_GPe,-0.02113042026758194,-0.01966332644224167,0.001467093825340271,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_GPi,-0.008378133177757263,-0.006349655799567699,0.0020284773781895638,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_Pu,-0.022020218893885612,-0.020643316209316254,0.0013769026845693588,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_STH,-0.03341981768608093,-0.0348551943898201,-0.0014353767037391663,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_cerebellum_dentate,0.009508044458925724,0.013533671386539936,0.004025626927614212,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_cerebellum_motor,-0.020540326833724976,-0.021710043773055077,-0.001169716939330101,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_paracentral_smooth3mm,0.017447900027036667,0.01902727596461773,0.0015793759375810623,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_postcentral_smooth3mm,0.007373657077550888,0.007732965052127838,0.0003593079745769501,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_precentral_smooth3mm,-0.002814172301441431,-0.0022520925849676132,0.0005620797164738178,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,vim,ZI_first,rh_superiorfrontal_smooth3mm,0.03360069543123245,0.03350702300667763,-9.367242455482483e-05,3.216395616531372,3.3836846351623535,1.1679463386535645,0.05790756270289421
sub-fuspd03,zi,ZI_first,lh_Ca,0.003222082741558552,-0.0011090785264968872,-0.004331161268055439,2.5897367000579834,1.9886486530303955,1.5072956085205078,1.6603617668151855
sub-fuspd03,zi,ZI_first,lh_GPe,-0.003101255977526307,-0.0030153831467032433,8.587283082306385e-05,2.5897367000579834,1.9886486530303955,1.5072956085205078,1.6603617668151855
sub-fuspd03,zi,ZI_first,lh_GPi,0.01864827610552311,0.02083292417228222,0.0021846480667591095,2.5897367000579834,1.9886486530303955,1.5072956085205078,1.6603617668151855
sub-fuspd03,zi,ZI_first,lh_Pu,0.026757217943668365,0.025854099541902542,-0.0009031184017658234,2.5897367000579834,1.9886486530303955,1.5072956085205078,1.6603617668151855
sub-fuspd03,zi,ZI_first,lh_STH,0.015850989148020744,0.018973343074321747,0.0031223539263010025,2.5897367000579834,1.9886486530303955,1.5072956085205078,1.6603617668151855
sub-fuspd03,zi,ZI_first,lh_cerebellum_dentate,-0.003280606586486101,-0.004180775489658117,-0.0009001689031720161,2.5897367000579834,1.9886486530303955,1.5072956085205078,1.6603617668151855
sub-fuspd03,zi,ZI_first,lh_cerebellum_motor,-0.018887145444750786,-0.01782733015716076,0.0010598152875900269,2.5897367000579834,1.9886486530303955,1.5072956085205078,1.6603617668151855
