subject_id,loss_recon,loss_cls,excluded
sub-fuspd03,0.5605562925338745,0.8894356433302164,False
sub-fuspd04,0.5870257318019867,0.6273874714970589,False
sub-fuspd06,0.771347776055336,0.6672710478305817,False
sub-fuspd07,0.4222235679626465,0.5010285973548889,False
sub-fuspd08,0.46724970638751984,0.6889130026102066,False
sub-fuspd09,228.9273338317871,0.6721612215042114,True
sub-fuspd11,0.6198438853025436,0.7652323991060257,False
sub-fuspd12,0.5164413973689079,0.6117102056741714,False
sub-fuspd13,0.7515116184949875,0.71385358273983,False
sub-fuspd15,205.8556251525879,0.6865256279706955,True
sub-fuspd16,0.08718254044651982,1.0470273208338767,False
sub-fuspd18,0.6795471832156181,0.5464445874094963,False
sub-fuspd19,10.03745412826538,0.6976286172866821,True
sub-fuspd20,0.5522556304931641,0.6328252926468849,False
sub-fuspd22,0.7571428269147873,0.6417885571718216,False
sub-fuspd23,0.528291180729866,0.6793218478560448,False
sub-fuspd24,1.096560299396515,0.7620148062705994,False
sub-fuspd26,0.5164919421076775,0.5766153335571289,False
"MEAN (n=15, excludes outlier folds)",0.5942447719474634,0.6900579797259222,
"MEAN (n=18, all patients)",25.20744914954735,0.6892880645916901,
